miina,plante dont le fruit sert à faire de la colle,iaai vers français
imiina,pied de plante dont le fruit sert à faire de la colle,iaai vers français
omiina,fruit de plante dont le fruit sert à faire de la colle,iaai vers français
minâ,moustique,iaai vers français
ominâ,un moustique,iaai vers français
mini,assiette,iaai vers français
miny,juron,iaai vers français
miny jut !,juron,iaai vers français
mita,mou,iaai vers français
oomitaa,amollir dégonfler (ballon),iaai vers français
uny,tortue de mer,iaai vers français
uny,ôter décrocher enlever (vêtement),iaai vers français
uny jut ûxaaû !,enlève ta chemise !,iaai vers français
uny jut tang ame uhni !,décroche le panier qui est suspendu !,iaai vers français
unyin,son corps,iaai vers français
unyik,mon corps,iaai vers français
unyâm,ton corps,iaai vers français
unyi Paulo,le corps de Paul,iaai vers français
unyin,après de,iaai vers français
iee hnyaar aang unyâm ?,qui sont ces gens après de toi ?,iaai vers français
uök,Sapindacée,iaai vers français
iuök,pied de Sapindcée,iaai vers français
uoû,marée haute,iaai vers français
up,cf op 2 créer,iaai vers français
hirondelle du Pacifique,wahalep,français vers iaai
martinet (hirondelle),wahagâ,français vers iaai
martin-pêcheur,jiji,français vers iaai
stourne des Loyauté (merle noir),drawââu,français vers iaai
siffleur des Loyauté,vic hmëtr,français vers iaai
