miina,iaai,"","","plante dont le fruit sert à faire de la colle","iaai vers français"
imiina,iaai,"",miina,"pied de plante dont le fruit sert à faire de la colle","iaai vers français"
omiina,iaai,"",miina,"fruit de plante dont le fruit sert à faire de la colle","iaai vers français"
"minâ",iaai,"","",moustique,"iaai vers français"
"ominâ",iaai,"","minâ","un moustique","iaai vers français"
mini,iaai,"","",assiette,"iaai vers français"
miny,iaai,"","",juron,"iaai vers français"
"miny jut !",iaai,"",miny,juron,"iaai vers français"
mita,iaai,"","",mou,"iaai vers français"
oomitaa,iaai,"",mita,"amollir dégonfler (ballon)","iaai vers français"
uny,iaai,"","","tortue de mer","iaai vers français"
uny,iaai,"","","ôter décrocher enlever (vêtement)","iaai vers français"
"uny jut ûxaaû !",iaai,"",uny,"enlève ta chemise !","iaai vers français"
"uny jut tang ame uhni !",iaai,"",uny,"décroche le panier qui est suspendu !","iaai vers français"
unyin,iaai,"","","son corps","iaai vers français"
unyik,iaai,"",unyin,"mon corps","iaai vers français"
"unyâm",iaai,"",unyin,"ton corps","iaai vers français"
"unyi Paulo",iaai,"",unyin,"le corps de Paul","iaai vers français"
unyin,iaai,"","","après de","iaai vers français"
"iee hnyaar aang unyâm ?",iaai,"",unyin,"qui sont ces gens après de toi ?","iaai vers français"
"uök",iaai,plante,"","Sapindacée","iaai vers français"
"iuök",iaai,"","uök","pied de Sapindcée","iaai vers français"
"uoû",iaai,"","","marée haute","iaai vers français"
up,iaai,"","","cf op 2 créer","iaai vers français"
"hirondelle du Pacifique","français",oiseaux,"",wahalep,"français vers iaai"
"martinet (hirondelle)","français",oiseaux,"","wahagâ","français vers iaai"
"martin-pêcheur","français",oiseaux,"",jiji,"français vers iaai"
"stourne des Loyauté (merle noir)","français",oiseaux,"","drawââu","français vers iaai"
"siffleur des Loyauté","français",oiseaux,"","vic hmëtr","français vers iaai"
