miina,plante dont le fruit sert à faire de la colle,iaai vers français,0
imiina,pied de plante dont le fruit sert à faire de la colle,iaai vers français,0
omiina,fruit de plante dont le fruit sert à faire de la colle,iaai vers français,0
minâ,moustique,iaai vers français,0
ominâ,un moustique,iaai vers français,0
mini,assiette,iaai vers français,0
miny,juron,iaai vers français,0
miny jut !,juron,iaai vers français,0
mita,mou,iaai vers français,0
oomitaa,amollir dégonfler (ballon),iaai vers français,0
uny,tortue de mer,iaai vers français,1
uny,ôter décrocher enlever (vêtement),iaai vers français,2
uny jut ûxaaû !,enlève ta chemise !,iaai vers français,0
uny jut tang ame uhni !,décroche le panier qui est suspendu !,iaai vers français,0
unyin,son corps,iaai vers français,1
unyik,mon corps,iaai vers français,0
unyâm,ton corps,iaai vers français,0
unyi Paulo,le corps de Paul,iaai vers français,0
unyin,après de,iaai vers français,2
iee hnyaar aang unyâm ?,qui sont ces gens après de toi ?,iaai vers français,0
uök,Sapindacée,iaai vers français,0
iuök,pied de Sapindcée,iaai vers français,0
uoû,marée haute,iaai vers français,0
up,cf op 2 créer,iaai vers français,0
hirondelle du Pacifique,wahalep,français vers iaai,0
martinet (hirondelle),wahagâ,français vers iaai,0
martin-pêcheur,jiji,français vers iaai,0
stourne des Loyauté (merle noir),drawââu,français vers iaai,0
siffleur des Loyauté,vic hmëtr,français vers iaai,0
